Available Seat-miles (the number of seats and the distance flown in thousands (000)) (All U.S. Carriers - All Major Airports (Destination Airport)),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"4,02,30,570","86,25,768","4,88,56,338"
2002,11,"3,80,33,293","80,16,618","4,60,49,912"
2002,12,"3,94,52,307","82,90,245","4,77,42,552"
2002,TOTAL,"46,76,36,446","9,96,82,664","56,73,19,110"
2003,1,"3,90,31,657","82,76,331","4,73,07,988"
2003,2,"3,47,13,476","71,53,940","4,18,67,417"
2003,3,"4,00,61,812","81,55,694","4,82,17,506"
2003,4,"3,81,55,206","71,92,082","4,53,47,288"
2003,5,"3,87,06,921","72,11,967","4,59,18,888"
2003,6,"3,94,47,779","79,07,424","4,73,55,203"
2003,7,"4,16,13,138","85,49,490","5,01,62,628"
2003,8,"4,15,73,533","87,41,139","5,03,14,671"
2003,9,"3,85,85,102","81,76,867","4,67,61,969"
2003,10,"4,08,75,242","82,33,776","4,91,09,018"
2003,11,"3,96,54,969","78,05,815","4,74,60,785"
2003,12,"4,16,58,253","82,08,292","4,98,66,545"
2003,TOTAL,"47,40,77,089","9,56,12,817","56,96,89,906"
2004,1,"4,13,33,306","83,58,862","4,96,92,168"
2004,2,"3,98,80,211","78,80,385","4,77,60,596"
2004,3,"4,39,16,063","85,42,743","5,24,58,806"
2004,4,"4,27,90,152","86,05,759","5,13,95,911"
2004,5,"4,34,63,667","91,11,671","5,25,75,338"
2004,6,"4,38,51,636","93,17,432","5,31,69,067"
2004,7,"4,55,90,032","99,36,465","5,55,26,497"
2004,8,"4,58,62,922","99,04,603","5,57,67,525"
2004,9,"4,10,87,043","89,10,190","4,99,97,232"
2004,10,"4,40,53,921","91,25,823","5,31,79,744"
2004,11,"4,23,47,296","86,91,067","5,10,38,363"
2004,12,"4,39,99,389","93,34,411","5,33,33,799"
2004,TOTAL,"51,81,75,638","10,77,19,410","62,58,95,049"
2005,1,"4,19,20,993","94,94,719","5,14,15,713"
2005,2,"3,93,15,279","86,23,421","4,79,38,699"
2005,3,"4,48,62,068","97,84,859","5,46,46,927"
2005,4,"4,31,83,634","96,98,387","5,28,82,021"
2005,5,"4,46,14,832","1,01,21,735","5,47,36,568"
2005,6,"4,44,98,425","1,03,36,801","5,48,35,226"
2005,7,"4,62,07,188","1,10,13,148","5,72,20,336"
2005,8,"4,59,16,528","1,08,45,858","5,67,62,386"
2005,9,"4,17,38,303","99,29,765","5,16,68,068"
2005,10,"4,29,76,278","97,82,268","5,27,58,547"
2005,11,"4,18,68,523","90,02,175","5,08,70,699"
2005,12,"4,33,27,660","97,97,549","5,31,25,209"
2005,TOTAL,"52,04,29,712","11,84,30,686","63,88,60,397"
2006,1,"4,19,62,229","99,34,084","5,18,96,313"
2006,2,"3,81,24,710","88,99,397","4,70,24,108"
2006,3,"4,43,12,777","1,03,32,040","5,46,44,817"
2006,4,"4,27,42,712","1,03,41,296","5,30,84,008"
2006,5,"4,37,45,582","1,07,06,761","5,44,52,343"
2006,6,"4,37,96,904","1,10,46,457","5,48,43,361"
2006,7,"4,54,36,159","1,16,82,522","5,71,18,681"
2006,8,"4,56,78,249","1,15,28,621","5,72,06,870"
2006,9,"4,17,28,140","1,04,66,438","5,21,94,578"
2006,10,"4,36,10,302","1,05,27,134","5,41,37,436"
2006,11,"4,21,44,236","96,92,369","5,18,36,605"
2006,12,"4,34,66,781","1,05,98,344","5,40,65,125"
2006,TOTAL,"51,67,48,780","12,57,55,464","64,25,04,244"
2007,1,"4,30,49,099","1,07,12,470","5,37,61,569"
2007,2,"3,86,44,724","96,23,145","4,82,67,868"
2007,3,"4,47,70,812","1,10,31,087","5,58,01,900"
2007,4,"4,33,95,317","1,09,52,484","5,43,47,800"
2007,5,"4,46,15,192","1,13,66,636","5,59,81,828"
2007,6,"4,40,37,761","1,18,00,158","5,58,37,920"
2007,7,"4,60,34,003","1,24,32,203","5,84,66,207"
2007,8,"4,61,41,138","1,23,68,241","5,85,09,380"
2007,9,"4,25,28,153","1,12,02,873","5,37,31,026"
2007,10,"4,45,56,959","1,11,86,790","5,57,43,749"
2007,11,"4,31,93,134","1,05,62,579","5,37,55,714"
2007,12,"4,38,00,228","1,14,99,808","5,53,00,036"
2007,TOTAL,"52,47,66,521","13,47,38,475","65,95,04,997"
2008,1,"4,27,04,227","1,15,07,685","5,42,11,911"
2008,2,"4,02,86,126","1,07,39,399","5,10,25,524"
2008,3,"4,47,13,511","1,19,11,945","5,66,25,457"
2008,4,"4,29,41,564","1,17,60,470","5,47,02,034"
2008,5,"4,42,65,225","1,23,29,984","5,65,95,209"
2008,6,"4,43,32,239","1,25,38,084","5,68,70,323"
2008,7,"4,61,32,160","1,31,56,076","5,92,88,236"
2008,8,"4,50,28,722","1,30,46,235","5,80,74,958"
2008,9,"3,90,78,833","1,13,30,306","5,04,09,139"
2008,10,"4,08,00,731","1,12,25,554","5,20,26,285"
2008,11,"3,85,66,208","1,05,12,619","4,90,78,827"
2008,12,"3,98,11,725","1,12,17,545","5,10,29,269"
2008,TOTAL,"50,86,61,271","14,12,75,901","64,99,37,172"
2009,1,"3,88,49,001","1,12,95,025","5,01,44,026"
2009,2,"3,60,13,512","1,00,26,379","4,60,39,890"
2009,3,"4,12,78,852","1,13,71,603","5,26,50,455"
2009,4,"3,99,42,026","1,12,86,815","5,12,28,840"
2009,5,"4,11,24,309","1,15,16,402","5,26,40,712"
2009,6,"4,18,10,620","1,20,04,192","5,38,14,812"
2009,7,"4,38,03,435","1,27,29,134","5,65,32,569"
2009,8,"4,31,77,461","1,25,90,642","5,57,68,103"
2009,9,"3,84,56,476","1,08,41,131","4,92,97,608"
2009,10,"3,99,28,691","1,04,44,763","5,03,73,455"
2009,11,"3,82,98,912","97,66,195","4,80,65,107"
2009,12,"3,96,26,130","1,05,39,937","5,01,66,067"
2009,TOTAL,"48,23,09,426","13,44,12,218","61,67,21,644"
2010,1,"3,90,15,490","1,08,96,740","4,99,12,230"
2010,2,"3,45,10,136","94,77,779","4,39,87,915"
2010,3,"4,11,92,904","1,11,61,343","5,23,54,247"
2010,4,"4,00,52,579","1,07,21,193","5,07,73,772"
2010,5,"4,14,03,812","1,18,93,676","5,32,97,488"
2010,6,"4,21,35,175","1,25,39,017","5,46,74,192"
2010,7,"4,40,14,647","1,34,48,516","5,74,63,163"
2010,8,"4,37,61,263","1,31,93,207","5,69,54,470"
2010,9,"4,01,17,332","1,15,64,394","5,16,81,726"
2010,10,"4,16,53,549","1,17,76,895","5,34,30,444"
2010,11,"3,98,96,975","1,06,51,159","5,05,48,134"
2010,12,"4,04,22,725","1,13,19,906","5,17,42,630"
2010,TOTAL,"48,81,76,586","13,86,43,825","62,68,20,410"
2011,1,"3,90,23,559","1,16,87,050","5,07,10,609"
2011,2,"3,56,38,931","1,03,95,845","4,60,34,776"
2011,3,"4,28,57,575","1,21,01,540","5,49,59,116"
2011,4,"4,11,51,674","1,20,19,816","5,31,71,490"
2011,5,"4,24,21,036","1,24,05,755","5,48,26,792"
2011,6,"4,37,04,445","1,29,01,540","5,66,05,985"
2011,7,"4,54,42,930","1,38,86,986","5,93,29,917"
2011,8,"4,38,76,295","1,32,82,244","5,71,58,539"
2011,9,"4,01,00,866","1,17,18,904","5,18,19,770"
2011,10,"4,13,25,273","1,17,36,412","5,30,61,685"
2011,11,"3,93,00,646","1,04,04,288","4,97,04,933"
2011,12,"4,11,57,139","1,13,67,124","5,25,24,263"
2011,TOTAL,"49,60,00,370","14,39,07,505","63,99,07,874"
2012,1,"3,90,45,752","1,15,42,114","5,05,87,866"
2012,2,"3,75,02,154","1,08,54,107","4,83,56,261"
2012,3,"4,28,91,826","1,20,63,903","5,49,55,729"
2012,4,"4,14,40,608","1,17,83,690","5,32,24,297"
2012,5,"4,28,18,917","1,24,37,644","5,52,56,561"
2012,6,"4,39,21,787","1,28,06,159","5,67,27,946"
2012,7,"4,56,24,283","1,35,25,732","5,91,50,015"
2012,8,"4,48,51,842","1,31,48,534","5,80,00,376"
2012,9,"4,03,08,862","1,16,67,027","5,19,75,889"
2012,10,"4,07,94,778","1,13,80,593","5,21,75,371"
2012,11,"4,00,44,704","1,03,99,946","5,04,44,650"
2012,12,"4,11,57,445","1,12,79,118","5,24,36,562"
2012,TOTAL,"50,04,02,958","14,28,88,566","64,32,91,524"
2013,1,"3,96,50,335","1,13,37,658","5,09,87,993"
2013,2,"3,65,71,079","1,02,69,275","4,68,40,354"
2013,3,"4,32,58,841","1,18,33,218","5,50,92,059"
2013,4,"4,19,42,860","1,18,63,594","5,38,06,455"
2013,5,"4,35,59,868","1,25,91,027","5,61,50,896"
2013,6,"4,45,21,114","1,32,39,263","5,77,60,377"
2013,7,"4,63,45,445","1,40,25,147","6,03,70,592"
2013,8,"4,57,46,535","1,37,59,267","5,95,05,802"
2013,9,"4,10,00,071","1,20,11,400","5,30,11,471"
2013,10,"4,30,32,941","1,19,41,127","5,49,74,068"
2013,11,"4,08,69,401","1,09,26,047","5,17,95,448"
2013,12,"4,23,51,083","1,16,84,344","5,40,35,427"
2013,TOTAL,"50,88,49,575","14,54,81,367","65,43,30,942"
2014,1,"3,96,32,011","1,17,20,809","5,13,52,820"
2014,2,"3,60,48,755","1,05,12,848","4,65,61,603"
2014,3,"4,41,76,758","1,25,70,906","5,67,47,664"
2014,4,"4,25,98,878","1,23,50,431","5,49,49,309"
2014,5,"4,40,18,811","1,32,59,508","5,72,78,319"
2014,6,"4,52,90,656","1,40,26,585","5,93,17,241"
2014,7,"4,73,89,481","1,48,02,867","6,21,92,348"
2014,8,"4,63,25,189","1,44,48,842","6,07,74,030"
2014,9,"4,20,25,814","1,25,12,009","5,45,37,823"
2014,10,"4,44,07,329","1,22,75,771","5,66,83,100"
2014,11,"4,21,92,902","1,14,12,343","5,36,05,245"
2014,12,"4,45,52,019","1,23,26,243","5,68,78,262"
2014,TOTAL,"51,86,58,605","15,22,19,161","67,08,77,766"
2015,1,"4,20,93,762","1,21,55,495","5,42,49,258"
2015,2,"3,78,02,385","1,07,24,332","4,85,26,717"
2015,3,"4,62,10,317","1,27,08,273","5,89,18,590"
2015,4,"4,51,97,492","1,28,23,083","5,80,20,575"
2015,5,"4,71,46,082","1,37,16,633","6,08,62,715"
2015,6,"4,81,10,432","1,42,42,416","6,23,52,848"
2015,7,"5,04,45,227","1,52,06,171","6,56,51,397"
2015,8,"4,94,86,512","1,49,00,077","6,43,86,589"
2015,9,"4,46,28,220","1,29,92,861","5,76,21,080"
2015,10,"4,67,99,400","1,26,10,364","5,94,09,765"
2015,11,"4,47,27,572","1,13,56,231","5,60,83,803"
2015,12,"4,65,97,382","1,25,67,858","5,91,65,240"
2015,TOTAL,"54,92,44,784","15,60,03,794","70,52,48,577"
2016,1,"4,38,36,621","1,23,60,556","5,61,97,177"
2016,2,"4,22,81,233","1,13,73,582","5,36,54,815"
2016,3,"4,87,81,696","1,28,79,997","6,16,61,694"
2016,4,"4,72,15,168","1,30,04,119","6,02,19,287"
2016,5,"4,94,40,908","1,39,32,676","6,33,73,584"
2016,6,"5,06,25,996","1,45,41,660","6,51,67,656"
2016,7,"5,25,45,631","1,54,23,751","6,79,69,383"
2016,8,"5,18,13,701","1,48,90,801","6,67,04,502"
2016,9,"4,65,84,337","1,30,32,722","5,96,17,059"
2016,10,"4,81,96,121","1,28,01,042","6,09,97,162"
2016,11,"4,64,67,982","1,11,84,879","5,76,52,861"
2016,12,"4,82,18,725","1,27,23,334","6,09,42,059"
2016,TOTAL,"57,60,08,120","15,81,49,119","73,41,57,239"
2017,1,"4,63,55,623","1,25,32,691","5,88,88,314"
2017,2,"4,21,23,673","1,11,21,700","5,32,45,373"
2017,3,"5,02,39,256","1,30,36,294","6,32,75,550"
2017,4,"4,84,68,521","1,34,11,131","6,18,79,652"
2017,5,"5,08,60,958","1,43,46,811","6,52,07,769"
2017,6,"5,24,62,829","1,50,09,718","6,74,72,547"
2017,7,"5,45,92,270","1,58,64,109","7,04,56,380"
2017,8,"5,39,14,168","1,52,48,034","6,91,62,201"
2017,9,"4,67,57,288","1,32,42,060","5,99,99,348"
2017,10,"5,02,69,761","1,33,85,637","6,36,55,397"
2017,11,"4,78,06,728","1,17,44,786","5,95,51,514"
2017,12,"4,97,88,608","1,31,56,593","6,29,45,201"
2017,TOTAL,"59,36,39,682","16,20,99,565","75,57,39,247"
2018,1,"4,77,83,744","1,29,11,727","6,06,95,470"
2018,2,"4,39,94,112","1,15,80,886","5,55,74,998"
2018,3,"5,17,61,409","1,35,77,689","6,53,39,097"
2018,4,"5,12,22,262","1,37,33,520","6,49,55,782"
2018,5,"5,35,33,147","1,47,06,842","6,82,39,989"
2018,6,"5,44,63,051","1,53,47,042","6,98,10,093"
2018,7,"5,65,74,595","1,61,20,842","7,26,95,437"
2018,8,"5,57,32,646","1,56,66,029","7,13,98,675"
2018,9,"5,01,61,658","1,39,49,843","6,41,11,500"
2018,10,"5,24,88,861","1,38,18,568","6,63,07,429"
2018,11,"4,99,19,210","1,20,80,505","6,19,99,715"
2018,12,"5,17,57,186","1,34,09,140","6,51,66,326"
2018,TOTAL,"61,93,91,880","16,69,02,632","78,62,94,511"
2019,1,"4,94,97,890","1,32,65,676","6,27,63,566"
2019,2,"4,51,35,867","1,18,02,679","5,69,38,546"
2019,3,"5,40,99,413","1,38,70,772","6,79,70,185"
2019,4,"5,18,50,656","1,39,05,012","6,57,55,668"
2019,5,"5,43,32,169","1,51,29,745","6,94,61,914"
2019,6,"5,46,25,576","1,58,25,365","7,04,50,941"
2019,7,"5,70,87,881","1,64,92,952","7,35,80,833"
2019,8,"5,69,19,869","1,61,63,637","7,30,83,506"
2019,9,"5,12,55,318","1,44,09,272","6,56,64,590"
2019,10,"5,42,85,421","1,40,27,820","6,83,13,240"
2019,11,"5,18,71,565","1,24,70,258","6,43,41,823"
2019,12,"5,45,22,259","1,37,82,711","6,83,04,970"
2019,TOTAL,"63,54,83,884","17,11,45,900","80,66,29,784"
2020,1,"5,19,65,020","1,35,66,970","6,55,31,990"
2020,2,"4,89,24,772","1,14,69,013","6,03,93,785"
2020,3,"4,59,57,488","84,38,082","5,43,95,570"
2020,4,"1,41,15,953","7,84,856","1,49,00,809"
2020,5,"1,22,89,975","8,84,872","1,31,74,847"
2020,6,"1,76,53,924","13,05,344","1,89,59,268"
2020,7,"2,93,29,087","27,02,260","3,20,31,346"
2020,8,"3,14,41,275","35,12,959","3,49,54,234"
2020,9,"2,68,61,465","36,00,862","3,04,62,327"
2020,10,"3,00,05,157","43,62,941","3,43,68,097"
2020,11,"3,16,94,201","50,03,493","3,66,97,694"
2020,12,"3,24,75,520","60,14,216","3,84,89,736"
2020,TOTAL,"37,27,13,836","6,16,45,867","43,43,59,703"
2021,1,"3,03,67,617","62,98,258","3,66,65,875"
2021,2,"2,70,47,897","53,68,234","3,24,16,132"
2021,3,"3,77,51,896","66,23,254","4,43,75,150"
2021,4,"3,88,94,665","68,91,632","4,57,86,297"
2021,5,"4,35,69,661","75,14,391","5,10,84,052"
2021,6,"4,68,83,714","83,28,736","5,52,12,451"
2021,7,"5,09,61,931","93,43,391","6,03,05,322"
2021,8,"5,03,13,781","94,53,233","5,97,67,014"
2021,9,"4,72,79,520","86,78,424","5,59,57,944"
2021,10,"4,92,84,637","89,04,749","5,81,89,385"
2021,11,"4,88,44,104","85,92,382","5,74,36,486"
2021,12,"4,91,41,978","1,00,09,968","5,91,51,945"
2021,TOTAL,"52,03,41,401","9,60,06,652","61,63,48,053"
2022,1,"4,55,32,061","1,01,03,274","5,56,35,335"
2022,2,"4,30,27,432","89,44,439","5,19,71,872"
2022,3,"5,06,13,308","1,06,37,856","6,12,51,163"
2022,4,"4,84,27,464","1,15,13,081","5,99,40,545"
2022,5,"5,04,23,237","1,27,77,925","6,32,01,162"
2022,6,"4,96,51,848",,
2022,7,"5,27,85,340",,
2022,8,"5,23,69,739",,
2022,TOTAL,"39,28,30,429","5,39,76,575","29,20,00,077"
,,,,
Note: All numbers are for scheduled services. Details may not add due to rounding.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Segment data.,,,,
